City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
203,Kaspiysk,RU,42.8816,47.6392,41.18,93,86,4.47,mist
204,Lanzhou,CN,36.0564,103.7922,37.62,66,93,3.96,overcast clouds
205,Aksu,CN,41.1231,80.2644,47.21,23,22,4.18,few clouds
206,Dunedin,NZ,-45.8742,170.5036,61.81,78,99,1.01,overcast clouds
207,Rutul,RU,41.5357,47.4239,44.38,75,72,3.53,broken clouds
208,Norilsk,RU,69.3535,88.2027,0.05,96,96,8.14,light snow
209,Havre-Saint-Pierre,CA,50.2334,-63.5986,29.21,89,100,4.83,light snow
210,Dikson,RU,73.5069,80.5464,2.91,95,100,14.41,overcast clouds
211,Wajir,KE,1.7471,40.0573,83.35,63,53,6.6,broken clouds
212,Karratha,AU,-20.7377,116.8463,83.46,68,8,7.34,clear sky
213,Chifeng,CN,42.2683,118.9636,22.89,16,27,4.09,scattered clouds
214,Fairbanks,US,64.8378,-147.7164,25.61,74,100,9.22,light snow
215,Yulara,AU,-25.2406,130.9889,73.47,29,60,5.03,broken clouds
216,Yar-Sale,RU,66.8333,70.8333,-0.31,94,93,6.08,overcast clouds
217,Menongue,AO,-14.6585,17.691,63.66,97,100,4.83,light rain
218,Maun,BW,-19.9833,23.4167,71.08,77,99,5.95,light rain
219,Birin,NP,26.8865,88.0718,51.57,66,4,5.17,clear sky
220,Sanarate,GT,14.795,-90.1922,86.31,37,40,4.83,scattered clouds
221,Kalmunai,LK,7.4167,81.8167,77.18,86,91,4.05,overcast clouds
222,Kargopol,RU,61.5071,38.9456,33.01,95,100,6.46,overcast clouds
223,Mount Isa,AU,-20.7333,139.5,69.57,78,0,0.0,clear sky
224,Usinsk,RU,65.9939,57.5281,2.03,92,90,7.9,overcast clouds
225,Carnarvon,AU,-24.8667,113.6333,74.98,81,5,10.63,clear sky
226,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,74.82,82,63,11.74,broken clouds
227,Bani,DO,18.2833,-70.3333,85.44,64,1,13.11,clear sky
228,Kapit,MY,2.0167,112.9333,73.54,100,100,0.45,moderate rain
229,Ust-Omchug,RU,61.15,149.6333,-22.81,97,60,4.27,broken clouds
230,Edea,CM,3.8,10.1333,70.95,98,93,2.37,overcast clouds
231,Constantine,DZ,36.365,6.6147,54.81,54,0,2.3,clear sky
232,Mao,ES,39.8885,4.2658,57.76,82,0,9.22,clear sky
233,Mahebourg,MU,-20.4081,57.7,76.24,88,20,6.91,few clouds
234,Progreso,MX,21.2833,-89.6667,95.11,43,0,10.58,clear sky
235,Westport,US,41.1415,-73.3579,55.27,46,96,1.99,overcast clouds
236,Broome,US,42.2506,-75.833,46.62,58,0,8.05,clear sky
237,Bambous Virieux,MU,-20.3428,57.7575,76.21,88,20,6.91,few clouds
238,Conceicao Do Araguaia,BR,-8.2578,-49.2647,74.14,91,100,1.92,moderate rain
239,Baneh,IR,35.9975,45.8853,44.04,86,18,2.48,few clouds
240,Lorengau,PG,-2.0226,147.2712,83.41,68,94,6.35,overcast clouds
241,High Prairie,CA,55.4334,-116.4858,31.3,80,82,5.41,broken clouds
242,Ankazoabo,MG,-22.2833,44.5167,73.6,80,76,5.7,broken clouds
243,Cockburn Town,TC,21.4612,-71.1419,76.93,76,5,13.62,clear sky
244,Ancud,CL,-41.8697,-73.8203,55.78,92,100,3.56,overcast clouds
245,Saint George,US,37.1041,-113.5841,55.26,38,75,16.11,broken clouds
246,Olinda,BR,-8.0089,-34.8553,82.13,74,40,5.75,scattered clouds
247,Iranshahr,IR,27.2025,60.6848,65.86,32,8,3.94,clear sky
248,Laguna,US,38.421,-121.4238,60.31,36,0,11.5,clear sky
249,Plettenberg Bay,ZA,-34.0527,23.3716,66.87,92,98,13.67,overcast clouds
250,Nanortalik,GL,60.1432,-45.2371,27.0,85,100,7.34,overcast clouds
251,Marica,BR,-22.9194,-42.8186,80.55,83,41,6.91,scattered clouds
252,Bagdarin,RU,54.4333,113.6,3.7,90,11,2.91,few clouds
253,Basco,PH,20.4487,121.9702,78.69,84,34,16.8,scattered clouds
254,Centralina,BR,-18.5839,-49.1994,78.69,66,68,0.78,broken clouds
255,Terenos,BR,-20.4422,-54.8603,82.11,69,40,2.3,scattered clouds
256,Kapoeta,SS,4.7717,33.5903,81.27,46,9,6.64,clear sky
257,Noumea,NC,-22.2763,166.4572,80.01,99,96,12.03,overcast clouds
258,Marsh Harbour,BS,26.5412,-77.0636,75.79,68,3,13.33,clear sky
259,Mabaruma,GY,8.2,-59.7833,77.23,77,99,6.04,overcast clouds
260,Mazara Del Vallo,IT,37.6641,12.588,54.55,70,18,3.04,few clouds
261,Northam,GB,51.0333,-4.2167,48.38,90,64,26.53,broken clouds
262,Lizzano,IT,40.391,17.4476,59.05,82,28,4.09,scattered clouds
263,Warwick,US,41.7001,-71.4162,55.06,51,75,17.27,broken clouds
264,Bamora,IN,24.0552,78.0909,74.79,39,24,7.05,few clouds
265,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,90,100,19.39,light rain
266,Yabelo,ET,4.8833,38.0833,64.42,64,35,2.26,light rain
267,Jumla,NP,29.2747,82.1838,41.43,83,66,4.41,broken clouds
268,Xinzhi,CN,36.4989,111.7047,46.65,64,100,2.95,overcast clouds
269,Balabagan,PH,7.5264,124.1142,76.48,87,100,4.7,overcast clouds
270,Santa Lucia,ES,27.9117,-15.5407,62.76,73,0,17.27,clear sky
271,Kloulklubed,PW,7.0419,134.2556,82.42,79,100,19.55,overcast clouds
272,Margate,GB,51.3813,1.3862,49.69,75,96,8.99,overcast clouds
273,Olafsvik,IS,64.8945,-23.7142,27.97,71,78,25.19,broken clouds
274,Provideniya,RU,64.3833,-173.3,0.93,84,19,4.9,few clouds
275,Langham,CA,52.3668,-106.9679,24.64,83,76,8.05,broken clouds
276,Kashi,CN,39.4547,75.9797,52.81,19,20,6.71,dust
277,Esperantina,BR,-3.9017,-42.2336,73.92,97,99,3.85,heavy intensity rain
278,Grand Gaube,MU,-20.0064,57.6608,76.37,80,26,6.38,scattered clouds
279,Rosetta,EG,31.4044,30.4164,62.2,83,100,17.78,light rain
280,Kavaratti,IN,10.5669,72.642,81.3,74,100,8.23,overcast clouds
281,Lata,PT,40.1629,-8.3327,52.07,93,37,0.92,scattered clouds
282,Garissa,KE,-0.4536,39.6401,82.44,67,81,15.23,light rain
283,Luganville,VU,-15.5333,167.1667,81.63,78,96,3.18,overcast clouds
284,Boffa,GN,10.1667,-14.0333,76.5,76,18,5.23,few clouds
285,Anaconda,US,46.1285,-112.9423,31.19,76,100,8.16,light snow
286,Finschhafen,PG,-6.6024,147.8681,79.68,83,100,7.43,overcast clouds
287,Clermont,FR,49.5,2.4167,48.7,82,91,20.29,overcast clouds
288,Omboue,GA,-1.5746,9.2618,77.76,84,100,1.68,overcast clouds
289,Saint-Philippe,RE,-21.3585,55.7679,74.79,84,100,2.86,overcast clouds
290,Stornoway,GB,58.2093,-6.3865,44.56,84,100,21.85,overcast clouds
291,Sao Marcos,BR,-28.9711,-51.0681,71.2,95,51,3.18,broken clouds
292,Soure,BR,-0.7167,-48.5233,78.28,81,63,7.27,broken clouds
293,Harper,LR,4.375,-7.7169,79.23,87,100,7.76,overcast clouds
294,Jieshi,CN,22.8134,115.8257,67.75,90,99,20.13,overcast clouds
295,Naze,JP,28.3667,129.4833,63.52,85,100,8.12,overcast clouds
296,Saint-Augustin,CA,51.226,-58.6502,30.16,75,100,14.12,overcast clouds
297,Vao,NC,-22.6667,167.4833,77.0,84,96,21.3,overcast clouds
